매장명,매장주소,건물id,프랜차이즈id,매장매출,상가매출,상권매출,거주인구,1인가구,주변 전철역 이용인구수,같은 상권내 동종업계 개수,동일프랜차이즈와의 최단거리,주변 학교 개수,주변 관광지유무,주변 빌딩 개수
컴포즈커피 부개주공점,인천 부평구 부개로 61-6 신성프라자 105~106호,,4,1700,12000,220000,26044,30.3,0,9,730,6,0,18
컴포즈커피 산곡푸르지오점,인천 부평구 안남로 269 부평산곡푸르지오아파트 1층 106호,,4,800,10000,220000,32609,28.1,0,10,410,3,0,14
컴포즈커피 인천논현라피에스타점,인천 남동구 논고개로 61 라피에스타 상가 1층 121호,,4,1900,360000,610000,28716,36.7,0,21,300,1,0,10
컴포즈커피 인천청학용담공원점,인천 연수구 용담로 44 1층 102호,,4,800,800,300000,14889,42.7,0,10,500,3,0,21
컴포즈커피 인천약산초점,인천 남동구 백범로 374 1층,,4,1100,1100,460000,30393,44.9,19156,30,250,2,0,51
컴포즈커피 인천검단제일프라자점,인천 서구 이음5로 34 1층 106호,,4,1600,85000,880000,17868,23,0,22,350,0,0,6
컴포즈커피 인천갈산점,인천 부평구 주부토로 223 1층 104호,,4,900,25000,290000,23679,32.9,15565,24,120,2,0,30
컴포즈커피 인천국립생물자원관점,인천 서구 환경로 42 1층,,4,21000,15000,0,0,34.9,0,0,1770,0,0,0
컴포즈커피 부평제이타워점,인천 부평구 부평대로 337 부평제이타워3차 1층 104호,,4,700,22000,77000,8453,34.3,0,3,500,0,0,9
컴포즈커피 인천박촌역점,인천 계양구 장제로 1003 1층,,4,1100,3400,140000,12008,38.3,6861,8,1050,2,0,3
